okay|0kkay
one|0neee
once|1s
today|2daii
today|2day
today's|2day's
today|2day's
together|2gether
tomorrow|2marro
tomorrow|2moro
tomorrow|2morro
tomorrow|2morrow
tomorrow|2moz
tomorrow|2mz
second|2nd
tonight|2niiqht
tonight|2nite
tonight|2nyt
two|2wo
tomorrow|2wo
threes|3s
forever|4evaa
forever|4ever
forgot|4got
from|4rm
say|5ay
saying|5ayin
so|5o
fifth|5th
stop|5top
a|aa
and|aaaand
anyway|aaaaw
all|aaalll
and|aand
able|abole
about|abooout
absolutely|absolotuely
absolutely|absolutly
about|abt
account|acct
achievements|achivements
account|acount
acting|actin
action|actn
act|actt
actually|actualy
addiction|addaction
adding|addin
adequate|addiquate
address|addres
address|addy
administrator|admin
admitted|admitte
adore|adoroo
address|adress
advertise|adverts
affecting|affectin
after|afta
after|aftahh
afternoon|aftanoon
after|aftr
again|againn
agent|agen
again|agin
again|agn
agree|agreeeeeeeeee
ago|agyyyy
ahead|ahea
them|ahem
ahead|ahem
out|aht
alright|aight
aircell's|aircell
alright|aite
hasn't|aitn
has|aitn
eaten|aitn
activity|aktiviti
awkward|akward
albanians|albainians
already|aledi
asked|alked
all|alll
all|allll
all|alllll
all|allllll
already|allready
alone|alonee
along|alongggg
already|alrdy
already|alreadyy
alright|alrighty
alright|alrite
asleep|alseep
alternate|alt
alternative|alt
although|altho
always|alway
always|alwayz
amazing|amasing
amazing|amazin
amazing|amazingg
amazing|amazinggg
amazing|amazinngg
am|amm
amounts|ammounts
emulated|amoleded
ammo|amooo
amo|amooo
am|amt
amazing|amzing
annually|analy
and|andd
and|anddd
and|andddd
and|ani
anniversary|aniversary
anniversary|anniv
anniversaries|annivs
announcements|announsments
annoying|annoyin
another|anotha
another|anothr
announcement|anouncment
annoying|anouying
answer|ans
answer|answr
answers|answrs
any|antg
anything|antg
another|anther
anthology|antholo
into|anto
another|anutha
anyway|anw
anyone|any1
anyway|anya
anything|anythign
anything|anythigng
anything|anythiinq
anything|anythin
anyway|anywaaay
anyhow|anywho
around|aound
apart|aparrt
apologizing|apologising
application|app
apart|appart
apartment|appartment
apparently|appearantly
appreciates|apperciates
apparently|apperently
episode|appisode
approximately|approx
appointment|appt
appointments|appts
april|apr
again|aqaiin
again|aqain
hardware|ardware
area|areaaaaaaa
are|aree
aren't|arent
arrival|arevalo
arguing|arguin
art|arh
around|arh
around|arnd
aren't|arnt
around|aroun
arrow|arr0w
arrived|arrivedd
ass|arse
say|asay
assignment|asgmnt
asked|askd
ask|aske
asking|askin
asses|assess
aside|asside
assignment|assingment
association|assoc
ass|asss
assist|asst
ass|asz
attacked|atracked
attracked|atracked
attracted|atracked
art|atrt
act|att
autocrat|attackiert
attract|attackiert
attending|attend'g
attention|attn
attitude|attutude
of|auf
aunt|aunty
authorization|authorisation
autographs|autographz
available|avai
average|avg
available|avl
avoid|avo
awake|awak
awesome|aweeesome
awful|aweful
awesome|awesomee
awesome|awesommmme
awesome|awesooome
awesome|awesssome
ah|awhhhh
awesome|awsome
yes|aye
alright|ayt
at|ayt
any|ayy
ass|azz
be|b
birthday|b'day
breakfast|b'fast
boy|b0y
before|b4
bad|baaaad
baby|baaabaaay
bad|baaad
baby|baaby
back|baack
back|baak
baby|babayy
baby|babba
babe|babee
baby|babeh
babes|babez
baby|babi
baby|babii
baby|babiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
baby|babyy
baby|babyyy
back|bac
back|bacc
backing|backin
back|backk
back|backkk
background|backround
bad|badd
bad|baddd
bad|badddddddd
worst|baddest
baby|bae
baby|baee
back|baik
banjo|bajo
back|bak
back|bakk
balkan|balikin
balling|ballin
ballin|ballinnnn
balling|ballinnnn
bands|bandz
banging|bangin
back|baq
back|baqkk
bag|baqq
back|baqq
barbecuing|barbquing
bring|bareng
basements|basments
baseline|bassline
bastard|basterd
bastards|basterds
battery|batt
battle|battl
baby|baybee
bay|bayyyyy
baby|bb
barbeque|bbq
blackberries|bbs
baby|bby
because|bc
because|bcause
back|bck
because|bcos
because|bcoz
because|bcuz
birthday|bday
before|be4
beautiful|beatiful
beating|beatin
beating|beatn
beats|beatz
beautiful|beautifull
baby|beb
babe|beb
because|becau
because|becuase
because|becus
because|becuz
bed|bedd
be|bee
been|beeean
because|beez
please|beez
beers|beez
before|befor
begging|beggin
be|beh
behaving|behavin
behead|behea
buy|bei
being|bein
because|bekause
believe|beleive
believer|belieber
believers|beliebers
believe|belive
bello|belloo
plum|belum
phonetic|bendiga
before|ber
best|beso
best|bestie
bests|bestys
bitch|betch
better|beter
better|betta
better|betterr
better|betyr
breakfast|bfast
breastfeeding|bfing
briefing|bfing
big|bg
be|bi
bias|biasa
bitch|biatch
bitch|bich
bieber's|biebers
big|bigg
bye|bii
bit|bii
biggest|biiggest
bit|biit
bills|billz
bitch|biotch
birthday|birrrrrrrtttthhhdaaaayyy
birthday|birthdai
birthday|birthdayy
bushes|bishhes
bitches|bishhes
bitches|bitchez
bitch|bitchh
bitch|bitchhhh
bitching|bitchin
bitches|bitchs
bitches|bitcjes
bite|bitee
bit|bitt
business|biz
business|bizness
business|biznesz
business|biznis
back|bk
back|bkk
brooklyn|bklyn
because|bkuz
black|blach
blackberry|blackberrys
blackberry|blackberryy
black|blak
blaming|blaminin
blanket|blankie
blasting|blastin
black|blck
building|bldg
buildings|bldgs
building|bldgs
bloody|bleddy
bulk|blk
billion|bln
block|blocc
blocking|blocca
blog|bloggg
blogged|bloggged
blogging|bloggin
blowing|blowin
bloody|bluddy
blue|bluee
been|bn
be|bn
body|bod
boy|boi
boy|boii
bomb|bombdiggity
bonfire|bomfire
bonds|bondi
bounding|bonding
pretty|bonitas
bonding|bontang
booby|boobie
boom|booom
boo|booooo
boy|booooy
booze|booz
board|bord
bored|bord
boarding|bording
bored|boredd
bored|boreddd
bored|boredddd
boring|boriiiiiiiiing
boring|borin
boring|borind
boss|bos
bothering|botherin
bottle|botol
boots|bots
about|botu
boring|bouaring
bouncing|bouncin
about|bout
about|boutt
box|boxxx
boycotting|boycottn
boy|boyy
boy|boyyy
brother|brah
brought|braught
bare|bre
break|brea
break|breakie
breaking|breakin
bread|bred
breakfast|brekfust
crib|brib
bringing|bringin
brother|bro
broken|brokee
brother|broo
brothers|bros
brother|brotha
brothers|broz
brother|bru
brother|brutha
brave|bruv
brother|bruva
bullshit|bs
business|bsiness
basket|bsk
but|bt
bitch|btch
between|btwn
bubbles|bubbelz
bubble|bubbl
bubble|buble
buck|buckk
bugging|buggin
but|buh
bulb|buhb
but|buhh
but|buht
building|buildin
building|buildn
business|buisness
bumping|bumpin
bunny|bunnyz
burning|burin
boring|burin
burning|burnin
biscuit|buscuit
bush's|bushs
bus|buss
busy|busyy
but|butt
butterfly|butterflyy
but|butttttt
but|buuuut
buying|buyin
buzz|buz
basin|buzin
business|buzziinx
buzzing|buzzin
boy|bwoy
box|bx
bitch|bxtch
bye|byee
bye|byeee
bye|byeeee
bye|byeert
goodbye|byes
bye|byes
bike|byk
but|byt
bitch|bytch
see|c
back|cack
calculus|calc
calculation|calc
calendar|calender
california|cali
calling|callin
call|callllllllll
calling|calln
camera|cam
came|camee
cameras|cams
singers|canciones
