okay|0kkay
one|0neee
once|1s
today|2daii
today|2day
today|2day's
together|2gether
tomorrow|2marro
tomorrow|2moro
tomorrow|2morro
tomorrow|2morrow
tomorrow|2moz
tomorrow|2mz
second|2nd
tonight|2niiqht
tonight|2nite
tonight|2nyt
two|2wo
tomorrow|2wo
forever|4evaa
forever|4ever
forgot|4got
from|4rm
say|5ay
saying|5ayin
fifth|5th
stop|5top
and|aaaand
anyway|aaaaw
all|aaalll
and|aand
able|abole
about|abooout
absolutely|absolotuely
absolutely|absolutly
about|abt
account|acct
account|acount
acting|actin
action|actn
act|actt
actually|actualy
addiction|addaction
adequate|addiquate
address|addres
address|addy
administrator|admin
admitted|admitte
adore|adoroo
address|adress
advertise|adverts
affecting|affectin
after|afta
after|aftahh
afternoon|aftanoon
after|aftr
again|againn
agent|agen
again|agin
again|agn
agree|agreeeeeeeeee
ago|agyyyy
ahead|ahea
them|ahem
ahead|ahem
out|aht
alright|aight
alright|aite
hasn't|aitn
has|aitn
eaten|aitn
activity|aktiviti
awkward|akward
already|aledi
all|alll
all|allll
all|alllll
all|allllll
already|allready
alone|alonee
along|alongggg
already|alrdy
already|alreadyy
alright|alrighty
alright|alrite
asleep|alseep
alternate|alt
alternative|alt
although|altho
always|alway
always|alwayz
amazing|amasing
amazing|amazin
amazing|amazingg
amazing|amazinggg
amazing|amazinngg
am|amm
emulated|amoleded
ammo|amooo
am|amt
amazing|amzing
annually|analy
and|andd
and|anddd
and|andddd
and|ani
anniversary|aniversary
anniversary|anniv
annoying|annoyin
another|anotha
another|anothr
announcement|anouncment
annoying|anouying
answer|ans
answer|answr
any|antg
anything|antg
another|anther
anthology|antholo
into|anto
another|anutha
anyway|anw
anyone|any1
anyway|anya
anything|anythign
anything|anythigng
anything|anythiinq
anything|anythin
anyway|anywaaay
anyhow|anywho
around|aound
apart|aparrt
apologizing|apologising
application|app
apart|appart
apartment|appartment
apparently|appearantly
apparently|apperently
episode|appisode
approximately|approx
appointment|appt
april|apr
again|aqaiin
again|aqain
hardware|ardware
area|areaaaaaaa
are|aree
aren't|arent
arrival|arevalo
arguing|arguin
art|arh
around|arh
around|arnd
aren't|arnt
around|aroun
arrow|arr0w
arrived|arrivedd
ass|arse
say|asay
assignment|asgmnt
ask|aske
asses|assess
aside|asside
assignment|assingment
association|assoc
ass|asss
assist|asst
ass|asz
art|atrt
act|att
autocrat|attackiert
attract|attackiert
attending|attend'g
attention|attn
attitude|attutude
aunt|aunty
authorization|authorisation
available|avai
average|avg
available|avl
avoid|avo
awake|awak
awesome|aweeesome
awful|aweful
awesome|awesomee
awesome|awesommmme
awesome|awesooome
awesome|awesssome
awesome|awsome
yes|aye
alright|ayt
any|ayy
ass|azz
birthday|b'day
breakfast|b'fast
boy|b0y
before|b4
bad|baaaad
baby|baaabaaay
bad|baaad
baby|baaby
back|baack
back|baak
baby|babayy
baby|babba
babe|babee
baby|babeh
baby|babi
baby|babii
baby|babiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
baby|babyy
baby|babyyy
back|bac
back|bacc
backing|backin
back|backk
back|backkk
background|backround
bad|badd
bad|baddd
bad|badddddddd
worst|baddest
baby|bae
baby|baee
back|baik
banjo|bajo
back|bak
back|bakk
balkan|balikin
back|baq
back|baqkk
bag|baqq
back|baqq
barbecuing|barbquing
bring|bareng
baseline|bassline
bastard|basterd
battery|batt
battle|battl
baby|baybee
bay|bayyyyy
baby|bb
barbeque|bbq
baby|bby
because|bc
because|bcause
back|bck
because|bcos
because|bcoz
because|bcuz
birthday|bday
before|be4
beautiful|beatiful
beating|beatin
beating|beatn
beautiful|beautifull
baby|beb
babe|beb
because|becau
because|becuase
because|becus
because|becuz
bed|bedd
been|beeean
because|beez
please|beez
beers|beez
before|befor
behead|behea
buy|bei
being|bein
because|bekause
believe|beleive
believer|belieber
believe|belive
bello|belloo
plum|belum
phonetic|bendiga
before|ber
best|beso
best|bestie
bitch|betch
better|beter
better|betta
better|betterr
better|betyr
breakfast|bfast
briefing|bfing
big|bg
bias|biasa
bitch|biatch
bitch|bich
big|bigg
bye|bii
bit|bii
biggest|biiggest
bit|biit
bitch|biotch
birthday|birrrrrrrtttthhhdaaaayyy
birthday|birthdai
birthday|birthdayy
bitch|bitchh
bitch|bitchhhh
bite|bitee
bit|bitt
business|biz
business|bizness
business|biznesz
business|biznis
back|bk
back|bkk
brooklyn|bklyn
because|bkuz
black|blach
blackberry|blackberrys
blackberry|blackberryy
black|blak
blaming|blaminin
blanket|blankie
blasting|blastin
black|blck
building|bldg
building|bldgs
bloody|bleddy
bulk|blk
billion|bln
block|blocc
blocking|blocca
blowing|blowin
bloody|bluddy
blue|bluee
been|bn
body|bod
boy|boi
boy|boii
bomb|bombdiggity
bonfire|bomfire
pretty|bonitas
booby|boobie
boom|booom
boo|booooo
boy|booooy
booze|booz
board|bord
boarding|bording
boring|boriiiiiiiiing
boring|borin
boring|borind
boss|bos
bottle|botol
boots|bots
about|botu
boring|bouaring
bouncing|bouncin
about|bout
about|boutt
box|boxxx
boy|boyy
boy|boyyy
brother|brah
brought|braught
bare|bre
break|brea
break|breakie
breaking|breakin
bread|bred
breakfast|brekfust
crib|brib
bringing|bringin
brother|bro
broken|brokee
brother|broo
brother|brotha
brother|bru
brother|brutha
brave|bruv
brother|bruva
bullshit|bs
business|bsiness
basket|bsk
but|bt
bitch|btch
between|btwn
bubble|bubbl
bubble|buble
buck|buckk
but|buh
bulb|buhb
but|buhh
but|buht
building|buildin
building|buildn
business|buisness
bunny|bunnyz
burning|burin
boring|burin
burning|burnin
biscuit|buscuit
bus|buss
busy|busyy
but|butt
butterfly|butterflyy
but|butttttt
but|buuuut
buying|buyin
buzz|buz
basin|buzin
business|buzziinx
boy|bwoy
box|bx
bitch|bxtch
bye|byee
bye|byeee
bye|byeeee
bye|byeert
goodbye|byes
bye|byes
bike|byk
but|byt
bitch|bytch
see|c
back|cack
calculus|calc
calculation|calc
calendar|calender
california|cali
calling|callin
call|callllllllll
calling|calln
camera|cam
came|camee
cameras|cams
cane|cannae
cannot|cannae
can't|cannae
cannot|cannnnot
captain|capt
care|caree
care|careee
careful|carefull
can't|carn't
catching|catchin
catching|catchn
category|catergory
caught|caugh
because|cause
because|caz
celebrity|celeb
cell|cellp
cell|celly
come|ceme
came|ceme
except|cept
certain|cert
you|cha
you're|cha
channel|chanel
changing|changin
changing|changng
change|chanqe
character|charater
charging|chargin
charging|charginv
chasing|chasinn
chatting|chattin
champion|chav
checked|checkd
cheap|cheep
check|chek
chevy|chev
chicken|chickn
chocolate|chiclit
chick|chik
chili|chilli
chill|chilll
chinese|chinse
chipmunk|chipmonk
chip|chix
check|chk
chocolate|choc
chocolate|chocalate
chocolate|choco
chocolate|chocs
champion|chompin
choose|choonz
chance|choonz
choose|choos
chorus|chorizo
charismatic|chrasmatic
christmas|chrismas
christmas|christmass
christmas|christmassy
christmas|christmast
you|chu
chat|chut
you|chuuuu
cigarette|cig
city|cit
call|ckall
can't|ckant
cock|ckck
cooking|cking
cool|ckool
because|ckuz
clear|cl
clapping|clappin
classic|classiccc
class|classs
could|cld
cleaning|cleanin
client|clint
clipping|clippn
clitoris|clit
