okay o-kay
one one
once once
today to-day
today to-day
today to-day
together to-geth-er
tomorrow to-mor-row
tomorrow to-mor-row
tomorrow to-mor-row
tomorrow to-mor-row
tomorrow to-mor-row
tomorrow to-mor-row
second sec-ond
tonight to-night
tonight to-night
tonight to-night
two two
tomorrow to-mor-row
forever for-e-ver
forever for-e-ver
forgot for-got
from from
say say
saying say-ing
fifth fifth
stop stop
and and
anyway a-ny-way
all all
and and
able a-ble
about a-bout
absolutely ab-so-lute-ly
absolutely ab-so-lute-ly
about a-bout
account ac-count
account ac-count
acting act-ing
action ac-tion
act act
actually ac-tu-al-ly
addiction ad-dic-tion
adequate ad-e-quate
address ad-dress
address ad-dress
administrator ad-min-is-tra-tor
admitted ad-mit-ted
adore a-dore
address ad-dress
advertise ad-ver-tise
affecting af-fect-ing
after af-ter
after af-ter
afternoon af-ter-noon
after af-ter
again a-gain
agent a-gent
again a-gain
again a-gain
agree a-gree
ago a-go
ahead a-head
them them
ahead a-head
out out
alright al-right
alright al-right
hasn't has-n't
has has
eaten eat-en
activity ac-ti-vi-ty
awkward awk-ward
already al-rea-dy
all all
all all
all all
all all
already al-rea-dy
alone a-lone
along a-long
already al-rea-dy
already al-rea-dy
alright al-right
alright al-right
asleep a-sleep
alternate al-ter-nate
alternative al-ter-na-tive
although al-though
always al-ways
always al-ways
amazing a-ma-zing
amazing a-ma-zing
amazing a-ma-zing
amazing a-ma-zing
amazing a-ma-zing
am A-m
emulated e-mu-la-ted
ammo am-mo
am A-m
amazing a-ma-zing
annually an-nu-al-ly
and and
and and
and and
and and
anniversary an-ni-ver-sa-ry
anniversary an-ni-ver-sa-ry
annoying an-noy-ing
another an-oth-er
another an-oth-er
announcement an-nounce-ment
annoying an-noy-ing
answer an-swer
answer an-swer
any a-ny
anything a-ny-thing
another an-oth-er
anthology an-tho-lo-gy
into in-to
another an-oth-er
anyway a-ny-way
anyone a-ny-one
anyway a-ny-way
anything a-ny-thing
anything a-ny-thing
anything a-ny-thing
anything a-ny-thing
anyway a-ny-way
anyhow a-ny-how
around a-round
apart a-part
apologizing a-po-lo-giz-ing
application ap-pli-ca-tion
apart a-part
apartment a-part-ment
apparently ap-par-ent-ly
apparently ap-par-ent-ly
episode ep-i-sode
approximately ap-prox-i-mate-ly
appointment ap-point-ment
april A-pril
again a-gain
again a-gain
hardware hard-ware
area ar-e-a
are are
aren't aren't
arrival ar-ri-val
arguing ar-gu-ing
art art
around a-round
around a-round
aren't aren't
around a-round
arrow ar-row
arrived ar-rived
ass ass
say Say
assignment as-sign-ment
ask ask
asses as-ses
aside a-side
assignment as-sign-ment
association as-so-ci-a-tion
ass ass
assist as-sist
ass ass
art art
act act
autocrat au-to-crat
attract at-tract
attending at-tend-ing
attention at-ten-tion
